Temps (s),Valeur singulière Max
0.0,1.0
1.0000000000000002,5.656258157009556
2.000000000000001,6.1569772987801175
2.9999999999999973,7.267687314917664
3.999999999999994,8.639862443116392
4.99999999999999,10.17615202392907
5.999999999999987,11.85319606627703
6.999999999999983,13.670213200432913
7.99999999999998,15.631835496810089
8.999999999999993,17.7417866550074
10.000000000000007,20.000471030525922
11.000000000000021,22.40413487593872
12.000000000000036,24.94470836404951
13.00000000000005,27.609955232603653
14.000000000000064,30.383765920953454
15.000000000000078,33.2465221766967
16.000000000000092,36.175503401044956
17.000000000000107,39.145324085748925
18.00000000000012,42.12839945536175
19.000000000000135,45.09543864398856
20.00000000000015,48.01596433745264
21.000000000000163,50.85885630099432
22.000000000000178,53.59291434724497
23.000000000000192,56.18743445230855
24.000000000000206,58.6127900777789
25.00000000000022,60.841009387544425
26.000000000000234,62.84633800091608
27.00000000000025,64.6057762189411
28.000000000000263,66.0995793095175
29.000000000000277,67.31170944173802
30.00000000000029,68.23022821381501
31.000000000000306,68.84761940256816
32.00000000000032,69.16103254095859
33.00000000000026,69.17243915075451
34.000000000000206,68.88869484812724
35.00000000000015,68.32150201022196
36.00000000000009,67.48726913508845
37.000000000000036,66.40686433436866
37.99999999999998,65.10526146750516
38.99999999999992,63.61107819865929
39.999999999999865,61.95600576306309
40.99999999999981,60.174130659168746
41.99999999999975,58.301149282511396
42.999999999999694,56.373478486178215
43.99999999999964,54.427269397999304
44.99999999999958,52.49734006655021
45.999999999999524,50.61605608601634
46.99999999999947,48.81220777686493
47.99999999999941,47.10995608885798
48.99999999999935,45.527942010920746
49.9999999999993,44.0786671493365
50.99999999999924,42.768246005761526
51.99999999999918,41.596596393562436
52.999999999999126,40.55807530292272
53.99999999999907,39.642496574788545
54.99999999999901,38.836404534376825
55.999999999998956,38.12444305451752
56.9999999999989,37.490660660021724
57.99999999999884,36.9196243588528
58.999999999998785,36.39726411910252
59.99999999999873,35.91142103432152
60.99999999999867,35.4521142085081
61.999999999998614,35.01156938254684
62.99999999999856,34.58406646623289
63.9999999999985,34.16566628787266
64.99999999999845,33.75387258032742
65.9999999999984,33.34727659637
66.99999999999834,32.94522107206572
67.99999999999828,32.54750906590859
68.99999999999822,32.154172499651146
69.99999999999817,31.765305704795747
70.99999999999811,31.38096143379035
71.99999999999805,31.001100965258722
72.999999999998,30.625586279400057
73.99999999999794,30.25420076071883
74.99999999999788,29.886685251815567
75.99999999999783,29.52277811388178
76.99999999999777,29.162250722330224
77.99999999999771,28.80493299330512
78.99999999999766,28.450726607810672
79.9999999999976,28.09960619666558
80.99999999999754,27.751610635647214
81.99999999999748,27.406827685788745
82.99999999999743,27.065375536259502
83.99999999999737,26.72738450030302
84.99999999999731,26.392981370670892
85.99999999999726,26.062277972889536
86.9999999999972,25.735364462585316
87.99999999999714,25.41230705812208
88.99999999999709,25.09314928815595
89.99999999999703,24.777915511173305
90.99999999999697,24.466615420589154
91.99999999999692,24.159248431013022
92.99999999999686,23.855807168928834
93.9999999999968,23.556279676296864
94.99999999999675,23.260650298701325
95.99999999999669,22.968899511020872
96.99999999999663,22.681003100051583
97.99999999999658,22.396931169070214
98.99999999999652,22.116647371006458
99.99999999999646,21.840108647353247
